"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\outline-vpn\outline-vpn.service.ts", "TypeScript", 7, 0, 0, 7
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\payment\payment.service.ts", "TypeScript", -1, 0, 0, -1
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\subscription\subscription.service.ts", "TypeScript", 0, 1, 1, 2
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\telegram-bot\handlers\VPN\handleChangeRegion.ts", "TypeScript", 34, -36, 2, 0
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\telegram-bot\handlers\VPN\handleGetKey.ts", "TypeScript", 59, 0, 0, 59
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vless-vpn\vless-vpn.controller.ts", "TypeScript", 11, 0, 0, 11
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vless-vpn\vless-vpn.service.ts", "TypeScript", 3, 0, 0, 3
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\vpn-protocol.service.ts", "TypeScript", 19, 0, 2, 21
"Total", "-", 132, -35, 5, 102
